Title,Category,Price,Rating,Stock
A Light in the Attic,Poetry,£51.77,Three,In stock (22 available)
Tipping the Velvet,Historical Fiction,£53.74,One,In stock (20 available)
Soumission,Fiction,£50.10,One,In stock (20 available)
Sharp Objects,Mystery,£47.82,Four,In stock (20 available)
Sapiens: A Brief History of Humankind,History,£54.23,Five,In stock (20 available)
The Requiem Red,Young Adult,£22.65,One,In stock (19 available)
The Dirty Little Secrets of Getting Your Dream Job,Business,£33.34,Four,In stock (19 available)
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,£17.93,Three,In stock (19 available)
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,£22.60,Four,In stock (19 available)
The Black Maria,Poetry,£52.15,One,In stock (19 available)
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,£13.99,Two,In stock (19 available)
Shakespeare's Sonnets,Poetry,£20.66,Four,In stock (19 available)
Set Me Free,Young Adult,£17.46,Five,In stock (19 available)
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,£52.29,Five,In stock (19 available)
Rip it Up and Start Again,Music,£35.02,Five,In stock (19 available)
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,£57.25,Three,In stock (19 available)
Olio,Poetry,£23.88,One,In stock (19 available)
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,£37.59,One,In stock (19 available)
Libertarianism for Beginners,Politics,£51.33,Two,In stock (19 available)
It's Only the Himalayas,Travel,£45.17,Two,In stock (19 available)
In Her Wake,Thriller,£12.84,One,In stock (19 available)
How Music Works,Music,£37.32,Two,In stock (19 available)
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,£30.52,Three,In stock (19 available)
Chase Me (Paris Nights #2),Romance,£25.27,Five,In stock (19 available)
Black Dust,Romance,£34.53,Five,In stock (19 available)
Birdsong: A Story in Pictures,Childrens,£54.64,Three,In stock (19 available)
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,£22.50,Three,In stock (19 available)
Aladdin and His Wonderful Lamp,Default,£53.13,Three,In stock (19 available)
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Nonfiction,£40.30,Five,In stock (18 available)
Wall and Piece,Art,£44.18,Four,In stock (18 available)
The Four Agreements: A Practical Guide to Personal Freedom,Spirituality,£17.66,Five,In stock (18 available)
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,£31.05,Three,In stock (18 available)
The Elephant Tree,Thriller,£23.82,Five,In stock (18 available)
The Bear and the Piano,Childrens,£36.89,One,In stock (18 available)
Sophie's World,Philosophy,£15.94,Five,In stock (18 available)
Penny Maybe,Default,£33.29,Three,In stock (18 available)
Maude (1883-1993):She Grew Up with the country,Default,£18.02,Two,In stock (18 available)
"In a Dark, Dark Wood",Mystery,£19.63,One,In stock (18 available)
Behind Closed Doors,Thriller,£52.22,Four,In stock (18 available)
You can't bury them all: Poems,Poetry,£33.63,Two,In stock (17 available)
Slow States of Collapse: Poems,Poetry,£57.31,Three,In stock (17 available)
